,ink_lookback_window,ink_momentum_threshold,ink_past_lag,ink_clear_threshold,profit_day_1,tot_profit
182,20,0.007,3,0.0001,4826.0,4826.0
29,5,0.012,5,0.0001,4357.0,4357.0
269,30,0.01,5,0.0001,4064.0,4064.0
34,5,0.015,5,0.0001,3798.0,3798.0
32,5,0.015,3,0.0001,3676.0,3676.0
33,5,0.015,4,0.0001,3676.0,3676.0
68,8,0.015,4,0.0001,3305.0,3305.0
67,8,0.015,3,0.0001,3305.0,3305.0
62,8,0.012,3,0.0001,3305.0,3305.0
57,8,0.01,3,0.0001,3182.0,3182.0
102,10,0.015,3,0.0001,3129.0,3129.0
101,10,0.015,2,0.0001,3129.0,3129.0
97,10,0.012,3,0.0001,3129.0,3129.0
96,10,0.012,2,0.0001,3129.0,3129.0
27,5,0.012,3,0.0001,3102.0,3102.0
132,12,0.012,3,0.0001,3086.0,3086.0
137,12,0.015,3,0.0001,3086.0,3086.0
28,5,0.012,4,0.0001,3005.0,3005.0
172,15,0.015,3,0.0001,2883.0,2883.0
61,8,0.012,2,0.0001,2864.0,2864.0
66,8,0.015,2,0.0001,2864.0,2864.0
38,8,0.005,4,0.0001,2791.0,2791.0
127,12,0.01,3,0.0001,2781.0,2781.0
148,15,0.007,4,0.0001,2693.0,2693.0
221,25,0.008,2,0.0001,2659.0,2659.0
152,15,0.008,3,0.0001,2649.0,2649.0
31,5,0.015,2,0.0001,2598.0,2598.0
69,8,0.015,5,0.0001,2587.0,2587.0
138,12,0.015,4,0.0001,2580.0,2580.0
175,20,0.005,1,0.0001,2465.0,2465.0
139,12,0.015,5,0.0001,2440.0,2440.0
157,15,0.009,3,0.0001,2416.0,2416.0
52,8,0.009,3,0.0001,2373.0,2373.0
78,10,0.007,4,0.0001,2356.0,2356.0
91,10,0.01,2,0.0001,2355.0,2355.0
86,10,0.009,2,0.0001,2299.0,2299.0
23,5,0.01,4,0.0001,2284.0,2284.0
10,5,0.008,1,0.0001,2232.0,2232.0
147,15,0.007,3,0.0001,2184.0,2184.0
264,30,0.009,5,0.0001,2176.0,2176.0
263,30,0.009,4,0.0001,2161.0,2161.0
22,5,0.01,3,0.0001,2107.0,2107.0
158,15,0.009,4,0.0001,2103.0,2103.0
103,10,0.015,4,0.0001,2097.0,2097.0
122,12,0.009,3,0.0001,2029.0,2029.0
259,30,0.008,5,0.0001,1956.0,1956.0
188,20,0.008,4,0.0001,1934.0,1934.0
24,5,0.01,5,0.0001,1837.0,1837.0
136,12,0.015,2,0.0001,1832.0,1832.0
131,12,0.012,2,0.0001,1832.0,1832.0
81,10,0.008,2,0.0001,1825.0,1825.0
